anoteleia,0x0387,True
questionGreek,0x037E,False
numbersignGreek,0x0374,False
numbersignlowGreek,0x0375,False
KaiSymbol,0x03CF,True
kaiSymbol,0x03D7,True
a.Ayb,0x0531,True
a.Ben,0x0532,True
a.Gim,0x0533,True
a.Da,0x0534,True
a.Ech,0x0535,True
a.Za,0x0536,True
a.Eh,0x0537,True
a.Et,0x0538,True
a.To,0x0539,True
a.Zhe,0x053A,True
a.Ini,0x053B,True
a.Liwn,0x053C,True
a.Xeh,0x053D,True
a.Ca,0x053E,True
a.Ken,0x053F,True
a.Ho,0x0540,True
a.Ja,0x0541,True
a.Ghad,0x0542,True
a.Cheh,0x0543,True
a.Men,0x0544,True
a.Yi,0x0545,True
a.Now,0x0546,True
a.Sha,0x0547,True
a.Vo,0x0548,True
a.Cha,0x0549,True
a.Peh,0x054A,True
a.Jheh,0x054B,True
a.Ra,0x054C,True
a.Seh,0x054D,True
a.Vew,0x054E,True
a.Tiwn,0x054F,True
a.Reh,0x0550,True
a.Co,0x0551,True
a.Yiwn,0x0552,True
a.Piwr,0x0553,True
a.Keh,0x0554,True
a.Oh,0x0555,True
a.Feh,0x0556,True
a.ayb,0x0561,True
a.ben,0x0562,True
a.gim,0x0563,True
a.da,0x0564,True
a.ech,0x0565,True
a.za,0x0566,True
a.eh,0x0567,True
a.et,0x0568,True
a.to,0x0569,True
a.zhe,0x056A,True
a.ini,0x056B,True
a.liwn,0x056C,True
a.xeh,0x056D,True
a.ca,0x056E,True
a.ken,0x056F,True
a.ho,0x0570,True
a.ja,0x0571,True
a.ghad,0x0572,True
a.cheh,0x0573,True
a.men,0x0574,True
a.yi,0x0575,True
a.now,0x0576,True
a.sha,0x0577,True
a.vo,0x0578,True
a.cha,0x0579,True
a.peh,0x057A,True
a.jheh,0x057B,True
a.ra,0x057C,True
a.seh,0x057D,True
a.vew,0x057E,True
a.tiwn,0x057F,True
a.reh,0x0580,True
a.co,0x0581,True
a.yiwn,0x0582,True
a.piwr,0x0583,True
a.keh,0x0584,True
a.oh,0x0585,True
a.feh,0x0586,True
a.ech_a.yiwn,0x0587,True
a.men_a.eh,,True
a.men_a.ken,,True
a.men_a.ech,0xFB14,True
a.men_a.ini,0xFB15,True
a.men_a.now,0xFB13,True
a.men_a.xeh,0xFB17,True
a.emphasis,0x055B,True
a.exclam,0x055C,True
a.comma,0x055D,True
a.question,0x055E,True
a.period,0x0589,False
a.abbreviation,0x055F,True
a.ringhalfleft,0x0559,True
a.hyphen,0x058A,True
a.apostrophe,0x055A,True
arHamza,0x0621,True
